cid,name,className,sizeX,sizeZ
1000153,墙体01,decorfb.1.qt1,1,1
1000253,墙体02,decorfb.1.qt2,1,1
1000353,墙体03,decorfb.1.qt3,1,1
1000453,墙体04,decorfb.1.qt4,1,1
1000553,钟乳石,decorfb.1.qt5,1,1
1000653,教堂,decorfb.2.jiaotang,3,3
1000753,民房1,decorfb.2.mingfang,3,3
1000853,民房2,decorfb.3.mingfang,2,2
1000959,商店,decorfb.4.shangdian,2,2
1001059,酒馆,decorfb.5.jiuguan,2,3
1001159,主角屋,zhujuewu.1.zhujuewu,3,3
1001253,墙右_基本_1,decorfb.6.qiangyou_1,1,1
1001353,墙右_基本_2,decorfb.6.qiangyou_2,1,1
1001453,墙右_基本_3,decorfb.6.qiangyou_3,1,1
1001553,墙右_基本_4,decorfb.6.qiangyou_4,1,1
1001653,墙右_基本_5,decorfb.6.qiangyou_5,1,1
1001753,墙右_基本_6,decorfb.6.qiangyou_6,1,1
1001853,墙右_基本_7,decorfb.6.qiangyou_7,1,1
1001953,墙中_基本_1,decorfb.6.qiangzhong_1,1,1
1002053,墙中_基本_2,decorfb.6.qiangzhong_2,1,1
1002153,墙左_基本_1,decorfb.6.qiangzuo_1,1,1
1002253,墙左_基本_2,decorfb.6.qiangzuo_2,1,1
1002353,墙左_基本_3,decorfb.6.qiangzuo_3,1,1
1002453,墙左_基本_4,decorfb.6.qiangzuo_4,1,1
1002553,墙左_基本_5,decorfb.6.qiangzuo_5,1,1
1002653,墙左_基本_6,decorfb.6.qiangzuo_6,1,1
1002753,墙左_基本_7,decorfb.6.qiangzuo_7,1,1
1002853,小车_基本_1,decorfb.7.xiaoche_1,1,1
1002953,小车_基本_2,decorfb.7.xiaoche_2,1,1
1003053,小车_基本_3,decorfb.7.xiaoche_3,1,1
1003153,小车_基本_4,decorfb.7.xiaoche_4,1,1
1003253,小车_基本_5,decorfb.7.xiaoche_5,1,1
1003353,小车_基本_6,decorfb.7.xiaoche_6,1,1
1003453,小车_基本_7,decorfb.7.xiaoche_7,1,1
1003553,帐篷_基本_1,decorfb.8.zhangpeng_1,2,2
1003653,帐篷_基本_2,decorfb.8.zhangpeng_2,2,2
1003753,帐篷_基本_3,decorfb.8.zhangpeng_3,2,2
1003853,树01,decorfb.9.tree_1,1,1
1003953,树02,decorfb.9.tree_2,1,1
1004053,树03,decorfb.9.tree_3,1,1
1004153,草堆1,decorfb.10.caodui_1,1,1
1004253,草堆2,decorfb.10.caodui_2,1,1
1004353,木堆,decorfb.10.mudui,1,1
1004453,货车,decorfb.11.huoche,1,1
1004553,货棚,decorfb.11.huopeng,1,1
1004653,推车,decorfb.11.tuiche,1,1
1004753,红果箱,decorfb.12.redbox,1,1
1004853,绿果箱,decorfb.12.greenbox,1,1
1004953,水果箱,decorfb.12.fruitbox,1,1
1005053,水桶,decorfb.13.shuitong,1,1
1005153,水桶堆1,decorfb.13.shuitongdui_1,1,1
1005253,水桶堆2,decorfb.13.shuitongdui_2,1,1
1005353,木桥,decorfb.14.muqiao,0,0
1005453,黄果摊,decorfb.15.yellow,1,1
1005553,红果摊,decorfb.15.red,1,1
1005653,绿果摊,decorfb.15.green,1,1
1005753,紫果箱,decorfb.15.zibox,1,1
1005853,路牌1,decorfb.16.lupai_1,1,1
1005953,路牌2,decorfb.16.lupai_2,1,1
1006053,矿灯,decorfb.17.kuangdeng,1,1
1006153,矿牌,decorfb.17.kuangpai,1,1
1006253,炸药箱,decorfb.17.bong,1,1
