id,sceneId,cid,x,z,mirror
1302,2,1004353,19,16,1
1301,117,1006053,13,27,0
1300,117,1006253,9,14,0
1299,117,1006153,13,23,0
1298,117,1006053,9,17,0
1298,117,1006253,7,17,0
1297,116,1006253,15,20,0
1296,116,1006153,12,21,1
1295,116,1006053,1,7,0
1294,116,1006053,15,19,0
1293,2,1004353,2,10,0
1292,2,1004953,3,6,0
1291,2,1004253,1,10,0
1290,112,1006153,15,4,0
1290,112,1006253,18,20,0
1289,112,1006053,15,3,0
1289,112,1006253,19,20,0
1288,112,1006253,20,20,0
1288,112,1006253,18,19,0
1287,2,1004053,8,7,0
1286,108,1006253,10,15,0
1285,108,1006153,8,10,1
1284,109,1006153,13,8,0
1283,109,1006253,26,12,0
1282,107,1006253,8,26,0
1281,107,1006053,3,23,0
1280,101,1006253,14,1,0
1279,101,1006053,6,10,0
1278,101,1006153,13,19,0
1277,101,1006253,7,1,0
1277,101,1006053,14,3,1
1276,2,1004953,14,10,0
1275,2,1003853,12,2,0
1274,2,1003953,4,14,0
1274,2,1005653,17,1,0
1273,2,1004253,19,12,0
1273,2,1003953,2,14,0
1273,2,1005753,16,2,0
1272,2,1003953,15,19,0
1272,2,1004253,19,13,0
1272,2,1005053,16,10,0
1272,2,1000853,14,1,1
1272,2,1003953,4,5,0
1271,2,1005053,19,19,0
1271,2,1004053,16,19,0
1271,2,1005753,19,14,0
1271,2,1003853,19,10,0
1271,2,1004053,2,5,0
1271,2,1000753,16,12,1
1270,2,1005453,14,14,0
1270,2,1003853,16,0,0
1270,2,1005853,5,14,0
1270,2,1004053,9,19,0
1269,2,1005153,18,19,0
1269,2,1001159,2,7,1
1269,2,1005953,5,4,1
1269,2,1004153,19,15,0
1269,2,1005553,9,14,0
1269,2,1003953,12,19,0
1269,2,1003853,19,11,0
1268,117,1001553,18,13,0
1267,117,1002653,0,25,0
1266,117,1001353,13,13,0
1265,117,1001753,29,7,0
1265,117,1001653,15,13,0
1264,117,1002453,0,28,0
1264,117,1001353,2,7,0
1263,117,1001853,22,27,0
1263,117,1002253,0,27,0
1263,117,1001553,20,7,0
1262,117,1001853,16,27,0
1262,117,1001353,4,7,0
1262,117,1002253,0,16,0
1261,117,1002653,0,15,0
1261,117,1001853,5,7,0
1260,117,1001653,16,7,0
1260,117,1001353,11,27,0
1260,117,1001553,20,13,0
1259,117,1002453,6,18,0
1259,117,1001353,7,27,0
1259,117,1001353,27,7,0
1258,117,1001353,17,27,0
1258,117,1001353,9,13,0
1258,117,1001353,18,7,0
1257,117,1002553,6,19,0
1257,117,1001553,22,7,0
1257,117,1001653,5,27,0
1256,117,1001553,14,13,0
1256,117,1001653,28,7,0
1256,117,1001553,21,27,0
1255,117,1001353,18,27,0
1255,117,1001553,8,7,0
1255,117,1001353,19,13,0
1254,117,1002653,27,14,0
1254,117,1001853,25,7,0
1254,117,1001853,21,13,0
1253,117,1001353,20,27,0
1253,117,1002653,27,19,0
1253,117,1002653,0,9,0
1253,117,1001453,21,7,0
1252,117,1002453,0,22,0
1252,117,1001353,26,7,0
1252,117,1001553,24,27,0
1252,117,1002353,27,23,0
1251,117,1001653,6,7,0
1251,117,1002553,27,10,0
1251,117,1001853,8,13,0
1251,117,1001853,12,27,0
1250,117,1002453,27,11,0
1250,117,1001353,23,7,0
1250,117,1001553,8,27,0
1250,117,1002753,0,29,0
1250,117,1001353,25,27,0
1249,117,1001853,17,7,0
1249,117,1001553,12,13,0
1249,117,1001853,4,27,0
1249,117,1001553,10,27,0
1249,117,1002453,27,26,0
1248,116,1002653,0,17,0
1247,116,1002253,8,17,0
1247,116,1001553,13,3,0
1246,116,1002653,0,20,0
1246,116,1001853,15,3,0
1245,116,1002453,0,7,0
1245,116,1001553,18,3,0
1244,116,1002353,0,21,0
