sceneId,data
105,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,13851,14151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,13851,15951,15151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[14551,15451,16151,14151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[13851,16151,0,16151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,16151,16151,14951,0,0,0,0,0,0,0,0,0,0,0,13851,14451,14451,14351,14351,0,0,0,0],[13751,16351,14151,0,0,0,0,0,0,0,0,0,0,0,0,13851,16151,16251,0,16551,0,0,0,0],[13751,16251,14251,0,0,0,0,0,0,0,0,0,0,0,0,14751,15551,13951,14051,14051,0,0,0,0],[14751,13951,14951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14451,14451,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13751,16351,16151,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13751,16151,16151,16351,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13751,16451,16451,16451,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13751,16351,16151,16151,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
2,"[[0,5251,0,0,5551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,5151,23351,0,5651,0,0,0,0,0,0,0,0,0,0,0,251,251,5651,0],[0,5151,23451,0,5651,0,0,0,0,5651,0,0,0,0,0,0,251,251,5651,0],[0,5251,0,0,5651,0,0,5151,0,5651,0,0,0,0,0,0,5151,251,5651,0],[0,5251,0,0,5551,0,0,23151,23151,23151,0,0,0,0,0,0,23151,22951,23551,0],[0,5151,0,0,5551,0,0,5151,23451,5651,0,0,0,0,0,0,23651,23351,23551,0],[0,5251,23651,0,4951,5851,5851,5151,23051,5651,5851,5751,0,0,5751,5751,5851,0,5851,5851],[0,5251,23551,23651,0,0,0,0,23251,5051,23451,0,0,0,0,23151,23251,0,0,23551],[0,0,5451,5451,5351,5451,5351,5451,5451,5451,5451,5451,0,0,5451,5351,4651,21751,4751,5351],[0,0,0,0,0,0,23651,0,0,0,0,0,0,0,0,0,5251,23351,5651,0],[0,0,0,0,0,0,23151,0,0,0,0,0,0,0,0,0,5251,0,5551,0],[0,0,0,0,0,0,23451,0,0,0,251,251,251,3551,5751,5751,4351,0,5651,0],[0,0,0,0,0,0,23651,0,0,0,251,0,0,0,23451,23351,23251,0,5651,0],[0,0,0,0,0,0,23451,0,0,0,251,251,0,0,4751,5351,5351,21851,5651,0],[0,0,0,22951,23151,23151,23251,23651,0,0,251,251,5351,5351,0,0,23551,251,5651,0],[0,0,0,3251,0,0,0,0,0,0,251,251,0,0,6051,0,23651,21751,5651,0],[0,0,0,0,3351,0,0,0,0,0,251,251,0,0,0,0,0,251,5651,0],[0,0,0,0,23551,0,0,0,0,0,251,251,0,0,0,23351,21851,251,5651,0],[0,0,0,0,0,0,0,0,0,0,251,251,0,0,21851,0,21751,251,5651,0],[0,0,0,0,0,0,0,0,0,0,251,251,251,251,251,251,251,21951,5651,0]]"
101,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,0,0,0,0,0,0],[0,19851,0,0,19851,0,0,20051,0,0,19951,0,20051,0,0,0,0,0,20151,0,13751,16351,16351,16251],[0,0,0,0,0,0,0,0,19551,0,19551,0,0,0,19551,0,19751,0,20151,0,13751,16351,16351,16651],[0,0,0,0,0,0,0,0,0,0,0,0,20051,0,0,19751,0,0,20151,0,13751,16151,16151,16651],[0,0,0,19451,19851,19551,19951,0,0,0,19751,0,0,20051,0,0,0,0,20151,0,13851,16151,16151,16651],[0,0,19851,0,0,0,0,0,0,0,0,0,19751,0,0,0,0,0,20151,0,13851,16151,16151,16151],[0,0,0,0,0,0,0,0,0,19651,0,21351,20851,20751,20751,20751,20651,20551,21051,0,13751,16151,16151,16651],[0,19451,19651,0,21351,20751,20751,20851,20851,20851,20551,21051,0,0,0,0,0,19951,0,0,13751,16151,16151,16651],[0,0,0,0,20151,19451,0,0,19551,19551,0,0,0,0,19851,0,0,0,0,0,13851,16151,16151,16651],[0,0,0,0,20251,0,0,0,0,0,0,0,0,19951,0,0,0,0,0,0,13851,16151,16151,16651],[0,0,0,0,20251,0,0,19651,0,20051,14551,14451,14351,14351,14451,14451,14351,14351,14351,14451,15351,16151,16151,16751],[0,0,0,0,20251,19451,20051,0,19651,0,13851,16251,16151,16151,16151,16151,16151,16151,16651,16151,16151,16151,16151,16551],[0,0,0,0,20351,0,19751,0,19851,19851,13851,16251,16151,16151,16151,16151,16151,16151,16351,16151,16151,16151,16151,16751],[0,0,0,0,20351,0,0,0,0,0,13851,16151,16151,16151,16151,16151,16151,16151,16151,16151,16151,16651,16851,16751],[0,0,19551,0,20451,19451,0,19651,19851,0,13851,16151,16151,16151,16151,0,16151,16151,16151,16851,16151,16651,16851,16551],[0,0,0,0,20451,0,0,0,20051,0,13751,16351,16351,16751,16151,16151,16151,16351,16151,16651,16151,16151,16151,16551],[0,0,0,0,20251,19451,0,0,0,0,13751,16151,16151,16151,16151,16651,16151,16251,16151,16251,16151,16151,16151,16351],[0,0,21451,20751,21051,19451,0,19751,0,0,13751,16151,16151,16151,16551,16151,16151,16151,16151,16151,16151,16251,16151,16751],[0,0,20251,0,19451,0,19751,0,0,0,13851,16151,16151,16751,16151,16151,16151,16151,16151,16151,16351,16151,16151,16751],[0,0,20151,0,0,0,0,0,0,0,13751,16151,16151,16151,16151,16151,16151,0,0,16151,16151,16251,16151,16351],[0,0,21051,0,19651,19551,0,0,19851,0,13751,16651,16151,16751,0,16151,16151,16151,16151,16151,16151,16151,16151,16751],[0,0,0,0,0,0,19851,0,0,0,13751,16451,16451,16451,0,16151,0,16151,16151,16151,16451,16151,16251,16751],[0,0,0,19551,0,0,0,0,0,0,13851,16451,16151,16551,0,0,16151,16151,16151,16151,16151,16351,16151,16751],[0,0,0,0,0,0,0,0,19551,0,14851,16251,16251,16251,16351,16351,16451,16451,16551,16351,16151,16651,16151,16751]]"
106,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14651,16151,16151,16151,16151,16151,16151],[0,21451,20751,20751,0,20751,20751,20751,0,0,0,0,0,0,0,0,0,13751,16151,16451,16251,16251,16251,16251],[0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13751,16151,16151,16451,20651,21651,16251],[0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14051,13951,14051],[0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0],[0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19851,19651,19751,19751,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21451,20951,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19551,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19551,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19551,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19751,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
107,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16251,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16251,0,0,0,16451,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16451,0,0,16251,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16351,16351,0,0,0,16251,16651,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16351,0,16251,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16351,0,0,0,16851],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,21251,20651,20651,20751,20751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,20751,20751,20951,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
108,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,20151,0,0,0,0,0,0,0,21451,20851,20851,20551,20551,20651,20651,20651,20751,20751,21651,0,0],[0,0,0,20451,0,0,0,0,0,0,0,20451,0,0,0,0,0,0,0,0,0,20351,0,0],[0,0,0,20351,0,0,0,0,0,0,0,20451,0,0,0,0,0,0,0,0,0,20351,0,0],[0,0,0,20151,0,0,0,0,0,0,0,20251,0,0,0,0,0,0,0,0,0,20351,0,0],[0,0,0,20351,0,0,0,0,0,0,0,20251,0,0,0,0,0,0,0,0,0,20351,0,0],[0,0,0,20351,0,0,0,0,0,0,0,20151,0,0,0,0,0,0,0,0,0,20351,0,0],[0,0,0,20251,0,0,0,0,0,0,0,20151,0,0,0,0,0,0,0,0,0,20151,0,0],[0,0,0,20151,0,0,0,0,0,0,0,20151,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20451,0,0,0,0,0,0,0,20151,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0,0],[0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0,0],[0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0,0],[0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20451,0,0],[0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0,0],[0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0],[0,0,0,21251,20651,20851,20751,20851,20651,20751,20651,20751,20851,20651,20751,20651,20751,20851,20751,20751,20851,21051,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
109,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,20551,20551,20551,20551,20551,21651,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20251,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,20751,20551,20551,21051,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
110,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,21351,20551,21051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
999,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
111,"[[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,21351,20751,20751,20751,0,20751,20751,0,20751,20751,20751,20751,20751,0,20751,20751,20751,0,0],[0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,20351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,20451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,20251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,20851,20751,20751,0,20751,20551,20551,0,20551,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,20751,20751,20851,20851,20651,20851,20651,20851,20651,20851,20751,20751,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
