sceneId,data
103,"[[0,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,0,0,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,0,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151],[16151,16151,16151,16151,16151,16151,16151,16151,151,151,151,151,151,151,151,151,151,151,151,151],[16151,16351,16351,16351,16351,16351,16351,16351,151,151,151,151,151,151,151,151,151,151,151,151],[16151,16851,16851,16851,16851,16851,16851,16851,151,151,151,151,151,151,151,151,151,151,151,151],[16151,16851,16851,16851,16851,16851,16851,16851,151,151,151,151,151,151,151,151,151,151,151,151],[16151,16351,16351,16351,16351,16351,16351,16351,151,151,151,151,151,151,151,151,151,151,151,151]]"
101,"[[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251]]"
104,"[[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[14551,14351,14451,15151,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16351,16451,14251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16851,16151,14151,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16851,16251,14251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16351,16251,14251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[14851,13951,13951,14951,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[14551,14451,14451,15151,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16351,16351,14251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16851,16151,14151,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16851,16551,14251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,16751],[16151,16351,16351,14251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,16351,19351,19351,19351,19351,19351,19351,19351,19351,16751],[14851,13951,14051,14951,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,16251,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,16251,16351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351]]"
105,"[[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[15151,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[16151,0,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0],[15751,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[14551,16151,16151,16151,0,0,0,0,0,0,0,0,0,0,0,0,14551,14351,19351,19351,0,0,0,0],[13751,16251,16151,16151,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[13751,16151,16151,16251,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,16151,16151,0,0,0,0],[13751,16151,16151,16151,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[13751,16451,16151,16151,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[13751,16251,16251,16251,15151,19351,19351,19351,19351,19351,19351,14551,14451,14451,14451,16151,15451,16251,16251,16251,0,0,0,0],[13751,16251,16351,16151,14251,19351,19351,19351,19351,19351,19351,13851,16251,16751,16851,16351,16651,16151,16151,16151,0,0,0,0],[14851,13951,14051,14051,14951,19351,19351,19351,19351,19351,19351,13851,16151,16151,16151,16151,16151,16151,16151,16151,0,0,0,0],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,13851,16251,16251,16151,16151,16251,16251,16351,16251,0,0,0,0]]"
106,"[[16151,16151,16151,16151,16151,16151,16151,16151,16151,15251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16251,16251,16251,16551,16151,16151,16151,16151,14151,19551,19351,19751,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16151,16151,16251,16151,16351,16251,16251,16151,14151,19351,19551,19351,19351,19351,19351,19351,19351,19351,19351,19351,16151,16151,19351],[16151,16151,16251,16251,0,0,0,0,14051,14951,19551,19351,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[16151,16151,16251,16851,0,0,0,0,19351,19351,19351,19351,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[16151,16351,16151,16851,0,0,0,0,19351,19351,19351,19351,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[16151,16351,16151,16251,0,0,0,0,19351,19351,19751,19351,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[16151,16651,16151,16251,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351],[16151,16151,16151,16151,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,19451,19651,19751,19351,19351,19351,19351],[16151,16151,16151,16151,0,0,0,0,19351,19351,19851,19351,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351],[0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,20051,19351,19351,19351,19351,19351,19351],[0,0,0,0,0,0,0,0,19351,19351,19351,19551,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351],[0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,19351,19351,20051,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,19351,19351,19551,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,20051,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,20051,0,0,0,0],[0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[0,0,0,0,0,0,0,0,19351,19351,20051,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[19351,19351,19351,19351,19751,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[19351,19351,19351,19351,19351,19351,19751,19351,19551,19551,19351,19351,0,0,0,0,19351,19351,19351,19351,0,0,0,0],[19351,19351,19351,19851,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,19351,19351,19351,20051,0,0,0,0]]"
107,"[[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,13751,16151,16151,16151,16151,16151,16151,16151],[19351,19351,19351,19351,19351,19351,19551,19351,19351,19351,19551,19351,19351,19351,19351,19351,19351,19351,14551,15351,16151,16151,16151,16151,16151,16151,16151],[19351,19351,19951,19351,19351,19351,19351,19351,19651,19351,19351,19351,19551,19351,19351,19351,19351,19351,13751,16151,16151,16151,16151,16151,16151,16151,16151],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16151,16151,16151,16151,16151,16151,16151,16151],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16151,16151,16151,16151,16151,16151,16151,16151],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16151,16151,16151,16151,19351,16151,16151,16151],[19351,19351,19551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16151,16251,16151,16151,16151,16151,16151,16151],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16151,16151,16151,16151,16151,16151,16151,16151],[19351,19651,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16151,16151,16151,16151,16151,16151,16151,16151],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19551,19351,19651,19551,19351,19351,19351,19351,19351,19351,19351,19351,19351,19851,19351,19351,19651,19351,19351,19951,19351,19351,19551,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19951,19851,19351,19351,19351,19551,19351,19351,19351,19351,19351,19351,19351,19351,19351],[0,0,0,0,0,0,0,0,0,0,0,19351,19451,19451,19451,0,0,0,0,0,0,0,0,19351,19351,19551,19351],[0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351,0,0,0,0,0,0,0,0,19351,19351,19651,19351],[0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19551,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[14651,16151,16151,16151,16151,16151,16151,16151,16151,16151,16151,15151,19351,19351,19551,0,0,0,0,0,0,0,0,14551,14351,15351,15951],[16151,16451,16751,16651,16251,16251,16151,16151,16151,16151,16151,14251,19351,19351,19651,0,0,0,0,0,0,0,0,16151,16251,16851,16151],[16151,16451,16151,16151,16251,16151,16151,16151,16251,16351,16351,14251,19351,19351,19551,0,0,0,0,0,0,0,0,16151,16151,16151,16151],[16151,16251,16151,16151,16151,16251,16251,16151,16151,16151,16151,14251,19351,19351,19751,0,0,0,0,0,0,0,0,16151,16651,16151,16151],[16151,16251,16151,16151,16251,16151,16151,16151,16251,16551,16351,14151,19351,19351,19651,0,0,0,0,0,0,0,0,14751,14051,14051,13951]]"
108,"[[19351,19351,19351,19351,19351,19351,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19351,19951,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19751,19851],[19351,19351,19351,19351,19551,19351,0,0,0,19351,19351,19351,19351,19751,19351,19351,19351,19351,19351,19351,19351,19351,19851,19351],[19351,19551,19351,19351,19551,19351,0,0,0,19351,19351,19351,19351,0,0,0,0,0,0,0,19351,19351,19351,19751],[19351,19351,19351,19351,19351,19651,0,0,0,19351,19351,19351,19351,0,0,0,0,0,0,0,19351,19351,19351,19351],[19351,19851,19351,19351,0,0,0,0,0,19351,19551,19351,19551,0,0,0,0,0,0,0,19351,19351,19751,19351],[19351,19551,19351,19351,0,0,0,0,0,19351,19351,19351,19751,0,0,0,0,0,0,0,19351,19351,19351,19351],[19351,19351,19351,19351,0,0,0,0,0,19351,19651,19351,19351,0,0,0,0,0,0,0,19351,19351,19751,19351],[19351,19351,19651,19351,0,0,0,0,0,19351,19551,19351,19351,0,0,0,0,0,0,0,19351,19351,19351,19351],[19351,19551,19351,19351,0,0,16151,16151,16151,14451,14451,14351,14351,14351,16151,16151,16151,0,0,0,19351,19351,19351,19351],[19351,19351,19351,19351,0,0,16151,16351,16751,16151,16851,16851,16851,16151,16151,16151,16351,0,0,0,19351,19351,19351,19551],[19351,19351,19351,19351,0,0,16151,16151,16151,16151,16251,16151,16151,16151,16251,16151,16151,0,0,0,19351,19351,19551,19351],[19351,19351,19351,19651,0,0,16151,16151,16251,16151,16151,16151,16151,16251,16151,16251,16151,0,0,0,19351,19351,19351,19351],[19351,19351,19351,19351,0,0,16151,16151,16151,16151,16251,16151,16151,16151,16151,16151,16151,0,0,0,19351,19351,19351,19751],[19351,19351,19751,19351,0,0,16151,16151,16251,16151,16151,16151,16151,16151,16151,16151,16151,0,0,0,19351,19351,19351,19351],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19851,19351],[19351,19551,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19951,19351],[19351,19351,19351,19551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19551,19351],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19751],[19351,20051,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[19751,20051,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19751,20051,19351,19351,19351,19651,19351,19351,19351,19351,19551,19351,19351,19751,19351,19351,19351,19651,19351,19351,19351,19351,19751],[19351,19351,19351,19351,19351,19351,19551,19351,19351,19351,19351,19351,19351,19351,19351,19751,19351,19551,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19551,19851,19351,19351,19351,19351,20051,19351,19351,19351,19551,19351,19351,19351,19351,19651,19351,19351,19351,19351,19351]]"
109,"[[0,0,0,0,0,0,0,0,0,19351,14551,16151,16151,15151,19351,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,19351,13751,16851,16851,14251,19351,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,19351,13751,16851,16851,14151,19351,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,19351,13851,16851,16851,14251,19351,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,19351,13851,16851,16851,14151,19351,0,0,0,0,0,0,0,0,0,0,0,0],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,13851,16851,16851,14251,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19451,19351,19951,19351,19351,19351,19351,19351,14651,15451,16251,16851,15951,15151,19851,19351,19351,19351,19351,19351,19351,19351,19651,19351,19451,19851],[19351,19351,19351,19651,19351,19351,19751,19351,19351,14851,15551,16251,16251,15851,15051,19351,19351,19751,19351,19351,19751,19551,19351,19351,19751,19551,19951],[19351,19351,19751,19351,19351,19351,19551,19351,19651,19351,14751,14051,13951,15051,19351,19351,19351,19351,19351,19551,19351,19351,19351,19351,19351,19351,19351],[19351,19751,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351],[19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19551],[19351,19551,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351],[19351,19851,19351,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,19351,19751,19351],[19351,19551,19351,0,0,0,0,19351,19951,19351,19351,19351,19351,19351,19351,19351,19351,19951,0,0,0,0,0,0,19351,19551,19651],[19351,19351,19751,0,0,0,0,19351,19351,19351,19351,20051,19351,20051,19351,19751,19351,19351,0,0,0,0,0,0,19351,19351,19351],[19351,19351,19351,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,20051,19351,19351,19351,0,0,0,0,0,0,19351,19751,19751],[19351,19351,19351,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,19351,19351,19351],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,20051,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,19351,19651,19351],[19351,19951,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[19351,19351,19351,19351,19551,19351,19351,19351,19351,19551,19351,19351,19551,19351,19351,19351,19551,19351,19351,19351,19351,19351,19351,19351,19351,19851,19351],[0,0,0,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351,19351,19551,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351],[0,0,0,0,0,0,0,19351,19351,19351,19351,19551,19351,19351,20051,19351,19351,19351,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,19351,19351,19351,19351,19451,19351,19351,19351,19651,19551,19351,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,19351,19951,19351,19351,19351,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,19351,19351,19351,20051,19451,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,19351,19351,19351,19851,19351,19351,19551,19351,19551,19351,19351,0,0,0,0,0,0,0,0,0]]"
110,"[[19351,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,16151,16151,16151,16151],[19351,19351,19551,19851,20051,20051,19351,0,0,0,0,0,0,0,0,0,0,16151,16851,16251,16651],[19351,19451,19651,19651,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,16151,16851,16851,16151],[19351,19451,19551,20051,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,16151,16251,16451,16151],[19351,19351,19351,19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,16151,16251,16251,16251],[19351,19351,19351,19551,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,16151,16151,16251,16251],[19351,20051,19351,19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,14851,14051,13951,14051],[19351,19951,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19851,19351],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[19351,19351,19551,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[19351,19351,20051,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,20051],[19351,19551,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[19351,19351,19551,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,19351,19351,19351],[19351,19551,19551,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,14551,14451,14451,15151],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16651,16351,14251],[19351,19351,19551,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16851,16851,14251],[19351,19351,19351,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,16151,16551,16551,14251],[19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,14551,16151,16151,16151,16151,16151,16251,16851,14151],[19351,19851,19351,19351,19351,19351,19351,20051,19351,19351,19351,19351,13851,16151,16851,16251,16351,16551,16251,16151,14151],[19351,19351,19351,20051,19351,19351,19351,19351,19351,20051,19351,19351,14751,14051,14051,13951,13951,13951,13951,14051,15051],[19351,19351,19351,19851,19351,19351,19351,19351,20051,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351,19351]]"
999,"[[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251],[251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,0]]"
