sceneId,type,name,content,bg,bgSound,nodeStr,entrances,numCols,numRows,isoStartX,isoStartZ,parentSceneId,needLevel,jump,bgType
999,1,剧场,,,,eNpjljfUIQpaj6obVTcC1QEAAF+SZA==,[],20,20,0,0,0,0,1,0
101,2,幽灵矿洞一层,,,,eNpjOG6ogwGth6AYAPFvJXc=,"[[1,2]]",10,10,0,0,0,0,1,1
102,2,幽灵矿洞er层,,,,eNpjljfUIQpaj6obVTcC1QEAAF+SZA==,"[[1,3]]",20,20,0,0,101,0,0,1
103,1,村子,,,,eNpjljfUIQpaj6obVTcC1QEAAF+SZA==,"[[1,4]]",20,20,0,0,0,0,1,1
104,1,矿洞一层,,,,eNpjqTfUIQlaj6ofVT+qflQ9ldQDAOMa0vE=,"[[1,19],[1,18]]",24,24,0,0,0,0,1,0
105,2,矿洞南区一层,,,,eNpjqTfUgUAD4qD18FNviBWiqycE6aWesB9JU284zNQTSg24wn/oqx8c6ZNE9QCUP9Gd,"[[1,2],[1,1]]",24,24,0,0,104,0,0,0
106,2,矿洞南区二层,,,,eNpjqTfUIQla00u9ARyi81HEMdQb4lBvOEjUQ9iGJKk3pEA9DnfSXT2UP6qeyupx5aQhoh4A4IvR7g==,"[[21,17],[22,17]]",24,24,0,0,105,0,0,0
107,2,矿洞南区三层,,,,eNpj3WioQwa0pr8uAwKQHF2Go7rwwWGvCxY+OEJtwNM8qbrwpwcc4tb40xAOcbrqwu/vEaYLAI6sCag=,"[[23,24],[23,14]]",27,27,0,0,106,0,0,0
108,2,矿洞南区五层,,,,eNpjqTfUQUADMDTEB60HTr0BGiRNPbr5GDJDUD1q2BlgCwU86g2HvXp8cPipNyQGWhvqkARprR4ALTnSMw==,"[[1,2],[1,3]]",24,24,0,0,109,0,0,0
109,2,矿洞南区四层,,,,eNpj3WiggwkN4dAAO7Qe1YWsy1CHDDgAugxIgAOrC5svyNNlOOJ04Yfk6cJMUbhzCaW6COfKEa0LALvyCXc=,"[[1,12],[1,11]]",27,27,0,0,107,0,0,0
110,2,矿洞北区一层,,,,eNpjLjTUQYYGWCBUznpUJXY1oyoHm0pDDIgiZm2oQySkhUoAzmCg4A==,"[[1,18],[2,18]]",21,21,0,0,104,0,0,0
111,2,矿洞北区二层,,,,eNpjLjTUIRJaDw6VBoTgEFQ5uEPegLBfiFZpSLLKoZY+CUIAVImhIA==,"[[18,1],[19,1]]",21,21,0,0,110,0,0,0
112,2,矿洞北区三层,,,,eNpjLjTUIRJa01qlAT44KFQaEIbDQiW2OCJFJTb1xMc7vVXSOc0DANmmoNw=,"[[1,19],[1,18]]",21,21,0,0,111,0,0,0
113,2,矿洞北区四层,,,,eNpjqTfUwQ4NsEPrUfWDVT1WcZzqDQdYvQFBSJp6wyGrHn94DnP1ALaU0fk=,"[[1,9],[1,10]]",24,24,0,0,112,0,0,0
114,2,矿洞北区五层,,,,eNpjqTfUgUADODREgWii1qPqB6t6AxQ4qn6kqTfESDmGmNDaUIckSGv1AM5x0ho=,"[[1,22],[1,23]]",24,24,0,0,113,0,0,0
115,2,矿洞北区六层,,,,eNpjqTfUQYYGOCBchfXAqjdEhySpB4oQdA9p6jFEyVSP35eDRT2WmKORevzxa4gbUkU9njRqTdCHqHbSXb0hfmhNMEToqx4AZm/R7g==,"[[1,4],[1,5]]",24,24,0,0,114,0,0,0
116,2,矿洞北区七层,,,,eNpjqTfUQYUGaBBN3nqwqUcWN8ACsas3pJp6NJ1Eq8fmXwzbMaG1oQ5JkObqCYU/peGDX70hifE1+NWjpwdS1BsOPfUA2OfSDg==,"[[1,19],[1,18]]",24,24,0,0,114,0,0,0
117,2,矿洞北区八层,,,,eNpjZzfQQYaGpEDrwaTXgAhIvl5DmunF7sfhoRebCmL04lJBO70GZOhFTZOU6CUtnCnRS1xeGDpp0gBJBT31Gg4CvQNTXpGvd1DXKQBHcUcY,"[[12,1],[13,1]]",30,30,0,0,116,0,0,0
