cid,name,avatarId,maxHp,sizeX,sizeZ,conditions
24001,Ä¾×®,6001,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""313"",""num"":""0""}]"
24002,Ê¯²Ä,6002,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""313"",""num"":""0""}]"
24003,Ìú¿ó,6003,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24004,Òø¿ó,6004,5,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24005,Ä§·¨¾§Ìå,6005,1,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24006,²Æ±¦,6006,1,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24007,½ð¿ó,6007,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24008,¾£¼¬,6008,5,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24009,»µÁ³Ê¯¸ç,6009,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24010,»ðÁú·à±ã,6010,5,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24011,»µÁ³ÃÅ,6011,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24012,³ÔÈË»¨,6012,2,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24013,µ¹Ã¹Í°,6013,1,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24014,ÃÔÖ®ÃÅ,6014,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
24015,»µÁ³Ê¯µÜ,6015,3,1,1,"[{""type"":""2"",""id"":""sp"",""num"":""1""},{""type"":""1"",""id"":""413"",""num"":""1""}]"
