id,sceneId,cid,x,z,mineper
4216,102,24001,4,1,100
4215,102,24003,10,6,100
4214,102,24003,0,10,100
4213,102,24006,4,0,100
4212,102,24001,6,0,100
4211,102,24001,5,1,100
4210,102,24001,1,10,100
4209,102,24003,10,4,100
4208,102,24003,2,6,100
4207,102,24001,10,3,100
4206,102,24003,10,7,100
4205,102,24001,0,2,100
4204,102,24001,0,4,100
4203,102,24001,0,3,100
4202,102,24005,4,8,100
4201,102,24003,5,8,100
4200,102,24005,3,7,100
4199,102,24003,4,7,100
4198,102,24003,3,6,100
4197,102,24003,10,5,100
4196,101,24008,0,7,100
4196,102,24001,5,0,100
4194,101,24003,6,1,100
4191,101,24003,5,1,100
4189,101,24008,0,6,100
