id,sceneId,cid,x,z,mirror,targetSceneId,vpath,targetSceneName
35,103,2000453,17,0,0,104,,矿洞一层
34,109,2000553,0,11,0,107,,矿洞南区三层
33,109,2000453,14,7,0,108,,矿洞南区五层
32,105,2000453,15,1,1,106,,矿洞南区二层
31,105,2000553,0,1,0,104,,矿洞一层
30,117,2000553,12,0,1,115,,矿洞北区六层
29,116,2000553,0,18,0,114,,矿洞北区五层
28,114,2000453,2,9,0,115,,矿洞北区六层
27,115,2000453,0,21,1,117,,矿洞北区八层
26,115,2000553,0,4,0,114,,矿洞北区五层
25,114,2000453,2,0,0,116,,矿洞北区七层
24,114,2000553,0,22,0,113,,矿洞北区四层
23,113,2000453,21,17,0,114,,矿洞北区五层
23,113,2000553,0,9,0,112,,矿洞北区三层
22,112,2000553,0,18,0,111,,矿洞北区二层
21,112,2000453,14,14,0,113,,矿洞北区四层
20,111,2000553,18,0,1,110,,矿洞北区一层
19,111,2000453,0,18,1,112,,矿洞北区三层
18,110,2000453,0,4,1,111,,矿洞北区二层
17,110,2000553,1,17,1,104,,矿洞一层
15,107,2000553,23,23,1,106,,矿洞南区二层
15,104,2000453,10,0,0,110,,矿洞北区一层
15,108,2000553,0,2,0,109,,矿洞南区四层
14,107,2000453,0,24,1,109,,矿洞南区四层
12,103,2000353,0,0,0,101,,null
12,104,2000553,0,18,0,103,,null
12,104,2000453,18,0,0,105,,矿洞南区一层
11,103,2000153,0,7,0,102,,null
10,102,2000153,8,9,0,103,,null
9,102,2000253,0,0,0,101,,null
8,101,2000353,2,9,0,102,,null
7,101,2000253,0,0,0,103,,null
14,106,2000553,21,16,1,105,,矿洞南区一层
13,106,2000453,22,0,0,107,,矿洞南区二层
