avatarId,name,type,className
7001,黑色史莱姆,,scmonster.1.heiseshilaimu
7002,盗贼,,scmonster.2.daozei
7003,三角石头怪,,scmonster.3.sanjiaoshitouguai
7004,矮人矿工,,scmonster.4.bosskuanggong
7005,小石头怪,,scmonster.5.xiaoshitouguai
7006,红色史莱姆,,scmonster.6.redslam
7007,盗贼头目,,scmonster.7.bossdaozei
7008,,,
7009,,,
7010,,,
7011,,,
7012,,,
7013,,,
7014,,,
7015,,,
7016,,,
7017,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
6001,树墩,,mine.1.shudun
6002,石矿脉,,mine.2.shikuangmai
6003,小麦,,mine.3.xiaomai
6004,草丛,,mine.4.caocong
6005,铁矿脉,,mine.5.tiekuangmai
6006,鲜花,,mine.6.xianhua
6007,银矿脉,,mine.7.yinkuang
6008,树木,,mine.8.shumu
6009,枯树,,mine.9.kushu
6010,魔蓝花,,mine.10.molanhua
6011,魔血花,,mine.11.moxuhua
6012,金矿脉,,mine.12.jinkuangmai
6013,木质宝箱,,mine.13.muxinag
6014,铁质宝箱,,mine.14.tiexiang
6015,坏脸石,,mine.15.huailianshi
6016,坏脸门,,mine.16.huailianmen
6017,沙堆,,mine.17.shadui
6018,荆棘,,mine.18.jinji
